date,time,.00,TotalAcc,RInt
07/20/2023,03:38:04,0.00,0.00,12.01,0.00
07/20/2023,03:39:03,0.00,0.00,12.01,0.00
07/20/2023,03:39:03,0.00,0.00,12.01,0.00
07/20/2023,03:39:04,0.00,0.00,12.01,0.00
07/20/2023,03:40:04,0.00,0.00,12.01,0.00
07/20/2023,03:40:04,0.00,0.00,12.01,0.00
07/20/2023,03:41:04,0.00,0.00,12.01,0.00
07/20/2023,03:41:04,0.00,0.00,12.01,0.00
07/20/2023,03:42:03,0.00,0.00,12.01,0.00
07/20/2023,03:42:04,0.00,0.00,12.01,0.00
07/20/2023,03:43:04,0.00,0.00,12.01,0.00
07/20/2023,03:43:04,0.00,0.00,12.01,0.00
07/20/2023,03:44:03,0.00,0.00,12.01,0.00
07/20/2023,03:45:03,0.00,0.00,12.01,0.00
07/20/2023,03:45:03,0.00,0.00,12.01,0.00
07/20/2023,03:45:03,0.00,0.00,12.01,0.00
07/20/2023,03:47:32,0.00,0.00,12.01,0.00
07/20/2023,03:48:03,0.00,0.00,12.01,0.00
07/20/2023,03:48:03,0.00,0.00,12.01,0.00
07/20/2023,03:49:03,0.00,0.00,12.01,0.00
07/20/2023,03:49:04,0.00,0.00,12.01,0.00
07/20/2023,03:50:03,0.00,0.00,12.01,0.00
07/20/2023,03:50:32,0.00,0.00,12.01,0.00
07/20/2023,03:52:03,0.00,0.00,12.01,0.00
07/20/2023,03:52:03,0.00,0.00,12.01,0.00
07/20/2023,03:52:03,0.00,0.00,12.01,0.00
07/20/2023,03:53:03,0.00,0.00,12.01,0.00
07/20/2023,03:53:04,0.00,0.00,12.01,0.00
07/20/2023,03:54:03,0.00,0.00,12.01,0.00
07/20/2023,03:54:04,0.00,0.00,12.01,0.00
07/20/2023,03:55:04,0.00,0.00,12.01,0.00
07/20/2023,03:55:04,0.00,0.00,12.01,0.00
07/20/2023,03:56:03,0.00,0.00,12.01,0.00
07/20/2023,03:56:03,0.00,0.00,12.01,0.00
07/20/2023,03:57:03,mmph
07/20/2023,03:57:04,0.00,0.00,12.01,0.00
07/20/2023,03:58:03,0.00,0.00,12.01,0.00
07/20/2023,04:02:04
07/20/2023,04:02:04,0.00,0.00,12.01,0.00
07/20/2023,04:03:03,0.00,0.00,12.01,0.00
07/20/2023,04:03:04,0.00,0.00,12.01,0.00
07/20/2023,04:04:33,0.00,0.00,12.01,0.00
07/20/2023,04:05:05,0.00,0.00,12.01,0.00
07/20/2023,04:06:03,0.00,0.00,12.01,0.00
07/20/2023,04:06:32,0.00,0.00,12.01,0.00
07/20/2023,04:07:03,0.00,0.00,12.01,0.00
07/20/2023,04:07:32,0.00,0.00,12.01,0.00
07/20/2023,04:08:04,0.00,0.00,12.01,0.00
